Paragraph Number,Paragraph Style,First Line Indent (cm),Hanging Indent (cm),Font Name,Font Size,Character Count,Word Count,Tab Count,Equals Sign Count,Is Italic,Is Bold,Text,Numbering Type,List Value,Within Table,Paragraph Range
1,Normal,0.0,0.0,Calibri,16.0,0,1,0,0,No,No,,0,0,False,"[0, 1]"
2,Normal,0.0,0.0,Calibri,11.0,0,1,0,0,No,No,,0,0,False,"[1, 2]"
3,Normal,0.0,0.0,Calibri,11.0,0,1,0,0,No,No,,0,0,False,"[2, 3]"
4,Normal,0.0,0.0,Calibri,11.0,1,1,0,0,No,No,,0,0,True,"[3, 5]"
5,Normal,0.0,0.0,Calibri,11.0,1,1,0,0,No,No,,0,0,True,"[5, 6]"
6,Head Num,-0.75,0.75,Impact,80.0,4,2,0,0,No,No,"06",0,0,True,"[6, 9]"
7,Normal,0.0,0.0,Calibri,11.0,1,1,0,0,No,No,,0,0,True,"[9, 10]"
8,Normal,0.0,0.0,Impact,18.0,1,1,0,0,No,No,,0,0,True,"[10, 11]"
9,Normal,0.0,0.0,Calibri,11.0,1,1,0,0,No,No,,0,0,True,"[11, 12]"
10,Head Name,0.0,0.0,Impact,36.0,23,3,0,0,No,No,Strategy Implementation,0,0,False,"[12, 36]"
11,L,0.0,0.0,Peinaud,9999999.0,20,4,0,0,No,Yes,(( Learning Outcomes,0,0,False,"[36, 57]"
12,L1,0.0,0.05,ZapfEllipt BT,9.5,58,13,0,0,No,Yes,"Upon completion of this chapter, students will be able to:",0,0,False,"[57, 116]"
13,Ln,-0.75,1.75,,9999999.0,64,14,1,0,No,No,	Know the concept and process(steps) of strategy implementation,0,0,False,"[116, 183]"
14,Ln,-0.75,1.75,,9999999.0,52,8,1,0,No,No,	Understand strategy formulation and implementation,0,0,False,"[183, 237]"
15,Ln,-0.75,1.75,,9999999.0,46,8,1,0,No,No,	Explain the operationalization of strategies,0,0,False,"[237, 285]"
16,Ln,-0.75,1.75,,9999999.0,33,8,1,0,No,No,	Describe how to manage conflict,0,0,False,"[285, 320]"
17,Ln,-0.75,1.75,,9999999.0,49,9,1,0,No,No,	Understand the matching strategy with structure,0,0,False,"[320, 371]"
18,Ln,-0.75,1.75,,9999999.0,44,9,1,0,No,No,	Know the forms of organizational structure,0,0,False,"[371, 417]"
19,Ln,-0.75,1.75,,9999999.0,50,9,1,0,No,No,	Explain the term restructuring and reengineering,0,0,False,"[417, 469]"
20,Ln,-0.75,1.75,,9999999.0,56,11,1,0,No,No,	Describe the linking performance and pay to strategies,0,0,False,"[469, 527]"
21,Ln,-0.75,1.75,,9999999.0,46,9,1,0,No,No,	Understand how managing resistance to change,0,0,False,"[527, 575]"
22,Ln,-0.75,1.75,,9999999.0,49,10,1,0,No,No,	Know for creating a strategy supportive culture,0,0,False,"[575, 626]"
23,Ln,-0.75,1.75,,9999999.0,34,7,1,0,No,No,	Describe McKinsey’s 7s Framework,0,0,False,"[626, 662]"
24,Normal,0.0,0.0,Times New Roman,9.0,0,2,0,0,No,No,,0,0,False,"[662, 664]"
25,H1,0.0,0.0,Impact,15.0,34,5,0,0,No,No,Concept of Strategy Implementation,0,0,False,"[664, 701]"
